"","model-shift","table","test_cat","test_name","slope","p-val","slope-no-extreme","p-val-no-extreme"
"203","model 17 vs 6","adni","_visuospatial","ADAS_VISUOSPATIAL.bl","8.31132952816923e-05","0.982810961823992","0.00208055670116033","0.707863356841111"
"204","model 17 vs 6","adni","_visuospatial","MOCA_VISUOSPATIAL.bl","0.0119092970317643","0.0759815144353935","0.00777387314788762","0.42812180837271"
"205","model 17 vs 6","adni","_visuospatial","COMBINED PVALUES","3","0.143455468698718","3","0.0857808986635958"
"206","model 17 vs 6","adni","_execfunc","EcogSPEF.bl","-0.00814223352366599","0.0433146715015157","-0.0138015113899247","0.0176911851143909"
"207","model 17 vs 6","adni","_execfunc","MMSE_ATTCALC.bl","-0.00422001741453649","0.470417380884459","-0.00932140267946471","0.28606459347298"
"208","model 17 vs 6","adni","_execfunc","MOCA_EF.bl","0.0122358585230656","0.321997750273358","-0.00308265904067001","0.863855991732244"
"209","model 17 vs 6","adni","_execfunc","CDJUDGE.bl","-0.0023341050476453","0.212308218338322","-0.00541096961200987","0.0462218507964576"
"210","model 17 vs 6","adni","_execfunc","COMBINED PVALUES","4","0.0637399518987819","4","0.0518839221107116"
"211","model 17 vs 7","adni","","MMSE.bl","0.0237174977856824","0.0286953558682249","0.0241629593977352","0.126209886783243"
"212","model 17 vs 7","adni","","CDRSB.bl","-0.0157043640067","0.0173100478587571","-0.0120356540295792","0.200598377085381"
