"","Models Compared","table","eval_col","test_category","num_visits","Effect Size","LMM P-value","no-shift vs shift","shift-time vs no-shift-time","Effect Size No-Extreme","LMM P-value No-Extreme","no-shift vs shift No-Extreme","shift-time vs no-shift-time No-Extreme"
"198","model 17 vs 6","adni","_orientation","ADAS_ORIENTATION","6.55056179775281","-0.00413987568220775","0.108983821053994","2.73e-01","1.08e-01","-0.00429039420674642","0.22682946058193","1.85e-01","2.26e-01"
"199","model 17 vs 6","adni","_orientation","MOCA_ORIENTATION","5.52107925801012","0.00132356321329593","0.446899916750373","7.47e-01","4.46e-01","0.000366371063438251","0.873492633944727","8.69e-01","8.74e-01"
"200","model 17 vs 6","adni","_orientation","CDORIENT","6.80715396578538","-0.00072272414949954","0.032064361679022","5.45e-02","3.17e-02","-0.000165058986995865","0.723234113214013","2.46e-01","7.23e-01"
"201","model 17 vs 6","adni","_orientation","COMBINED PVALUES","0","4","0","0","0.0122304721765751","4","0","0","0.612178540889619"
"202","model 17 vs 6","adni","_visuospatial","EcogSPVisspat","5.49166666666667","-0.000835622008767985","0.250588352323624","1.53e-02","2.5e-01","-0.000922584300158301","0.373801035277932","6.46e-03","3.74e-01"
"203","model 17 vs 6","adni","_visuospatial","ADAS_VISUOSPATIAL","6.55216693418941","-0.000646960891628615","0.244363267145664","4.41e-01","2.44e-01","-8.72110201113131e-05","0.918211111614121","9.15e-01","9.18e-01"
"204","model 17 vs 6","adni","_visuospatial","MOCA_VISUOSPATIAL","5.52276559865093","-0.000381557621452644","0.812593524232287","5.35e-02","8.13e-01","-0.000907256962584528","0.693643021530258","3.69e-01","6.93e-01"
"205","model 17 vs 6","adni","_visuospatial","COMBINED PVALUES","0","3","0","0","0.391067549578571","3","0","0","0.818386482805139"
"206","model 17 vs 6","adni","_execfunc","EcogSPEF","5.31778929188256","-0.00208431840865189","0.0135575321067087","7.12e-03","1.29e-02","-0.00248128983227745","0.0436843531016844","5.08e-03","4.26e-02"
"207","model 17 vs 6","adni","_execfunc","MMSE_ATTCALC","5.89580093312597","-0.00117093514005975","0.648358643063374","6.24e-01","6.49e-01","-0.0021281474513593","0.581971523830146","3.83e-01","5.82e-01"
"208","model 17 vs 6","adni","_execfunc","MOCA_EF","5.50758853288364","0.0084831942236149","0.505922908449569","5.63e-01","5.05e-01","0.0206453138232994","0.280523843588038","4.87e-01","2.79e-01"
"209","model 17 vs 6","adni","_execfunc","CDJUDGE","6.80715396578538","-0.000602216409761623","0.0664131073791013","7.25e-02","6.57e-02","-0.000434943702240753","0.342836280503618","4.7e-02","3.42e-01"
"210","model 17 vs 6","adni","_execfunc","COMBINED PVALUES","0","4","0","0","0.0473283788862331","4","0","0","0.105003428550528"
"211","model 17 vs 7","adni","","MMSE","6.69206842923795","0.0259229188595702","0.189682402147751","1.18e-01","1.89e-01","0.00632526040251719","0.822245068829446","8.97e-01","8.22e-01"
"212","model 17 vs 7","adni","","CDRSB","6.73872472783826","-0.0201861858121313","0.0264208362784468","2.63e-02","2.65e-02","-0.0055093657849547","0.662629531187494","7.1e-01","6.63e-01"
"213","model 17 vs 7","adni","","EcogSPTotal","5.56093489148581","-0.000890965317250454","0.268833092146087","2.17e-02","2.68e-01","-0.000556274957882089","0.61425334457531","6.82e-01","6.14e-01"
"214","model 17 vs 7","adni","","ADAS13","6.49438202247191","-0.2144941964249","0.118654954160316","6.98e-02","1.18e-01","-0.198379284809585","0.337649892204118","3.88e-01","3.37e-01"
"215","model 17 vs 7","adni","","MOCA","5.46699669966997","0.0372548848269826","0.113379002954579","1.52e-01","1.12e-01","0.0142196510987838","0.656921587627261","8.93e-01","6.57e-01"
"216","model 17 vs 7","adni","","GDTOTAL","6.64074650077761","-0.00589405943345504","0.18942947331457","4.16e-01","1.9e-01","-0.0063174313939308","0.322867373478495","4.43e-01","3.24e-01"
"217","model 17 vs 7","adni","","PTAU","2.28630705394191","0.243851789810455","0.419014125071398","4.27e-02","4.18e-01","0.500802611280208","0.261307585163555","1.19e-01","2.6e-01"
"218","model 17 vs 7","adni","","TAU","2.28630705394191","13.037690763559","0.553596581187137","4.92e-02","5.53e-01","27.9295175973357","0.388314556330422","1.15e-01","3.87e-01"
"219","model 17 vs 7","adni","","ABETA","2.28630705394191","94.5774682929767","0.782586973810586","8.59e-01","7.82e-01","193.815284792841","0.683108457740171","9.1e-01","6.84e-01"
"220","model 17 vs 7","adni","","COMBINED PVALUES","0","8","0","0","0.0294812312003171","8","0","0","0.588154038514651"
"221","model 17 vs 7","adni","_memory","EcogSPMem","5.55241264559068","-0.00107956413345208","0.303895007723808","1.06e-01","3.03e-01","-0.000976806819454505","0.496838380446533","6.53e-01","4.96e-01"
"222","model 17 vs 7","adni","_memory","MMSE_RECALL","5.89735614307932","-0.00136740404658733","0.576762996432671","7.2e-02","5.76e-01","-0.00527538784463784","0.129530905616895","2.94e-01","1.3e-01"
"223","model 17 vs 7","adni","_memory","ADAS_MEMORY","6.54414125200642","-0.0721503787158105","0.103189447332097","3.79e-02","1.02e-01","-0.121101536825667","0.0645922020505858","1.13e-01","6.39e-02"
"224","model 17 vs 7","adni","_memory","MOCA_MEMORY","5.47723440134907","0.042528452919626","0.139992334441886","3.22e-01","1.38e-01","0.012299738366268","0.753580209274278","7.82e-01","7.53e-01"
"225","model 17 vs 7","adni","_memory","CDMEMORY","6.80715396578538","-0.000723123004769519","0.0575071293413951","7.96e-02","5.72e-02","-0.000500576274477403","0.331427608158333","6.14e-01","3.31e-01"
"226","model 17 vs 7","adni","_memory","COMBINED PVALUES","0","5","0","0","0.028311092553176","5","0","0","0.140320949403477"
"227","model 17 vs 7","adni","_language","EcogSPLang","5.54908485856905","-0.000442158166759644","0.559788868120078","5.22e-02","5.59e-01","-5.14385692276365e-05","0.961214983018188","6.55e-01","9.61e-01"
"228","model 17 vs 7","adni","_language","MMSE_LANGUAGE","6.68740279937792","-0.0013441285573462","0.353959363458178","6.01e-01","3.53e-01","0.000756831622298558","0.717583922687377","8.54e-01","7.17e-01"
"229","model 17 vs 7","adni","_language","ADAS_LANGUAGE","6.5569823434992","-0.00207348550319561","0.49008825448289","7.46e-01","4.9e-01","-0.00232681379059665","0.620962280171304","8.84e-01","6.21e-01"
"230","model 17 vs 7","adni","_language","MOCA_LANGUAGE","5.52107925801012","0.00591293135712829","0.851956774282788","2.5e-01","8.52e-01","0.0207919724099033","0.637870590867457","6.93e-01","6.37e-01"
"231","model 17 vs 7","adni","_language","COMBINED PVALUES","0","4","0","0","0.653796521871291","4","0","0","0.932863343952283"
"232","model 17 vs 7","adni","_orientation","MMSE_ORIENTATION","6.69206842923795","-0.00986691558339421","0.0308767501904737","7.58e-02","3.06e-02","-0.00229942087042365","0.710266968350471","9.18e-01","7.1e-01"
"233","model 17 vs 7","adni","_orientation","ADAS_ORIENTATION","6.55056179775281","-0.00345784883438151","0.184811001452775","2.4e-01","1.85e-01","-0.00244980169043076","0.498025587275059","5.08e-01","4.98e-01"
"234","model 17 vs 7","adni","_orientation","MOCA_ORIENTATION","5.52107925801012","0.00284446229806116","0.11552002359424","2.61e-01","1.15e-01","0.00114361352401304","0.630745762119829","7.4e-01","6.31e-01"
"235","model 17 vs 7","adni","_orientation","CDORIENT","6.80715396578538","-0.000954964393540536","0.00617766169444179","8.9e-03","6.07e-03","-0.000772459997103822","0.0996536047688258","2.17e-01","9.95e-02"
"236","model 17 vs 7","adni","_orientation","COMBINED PVALUES","0","4","0","0","0.000600875443237224","4","0","0","0.420440904875725"
"237","model 17 vs 7","adni","_visuospatial","EcogSPVisspat","5.49166666666667","-0.00112914095945317","0.136614321159641","3.06e-03","1.35e-01","-0.000542908398518745","0.608535612418163","3.17e-01","6.08e-01"
"238","model 17 vs 7","adni","_visuospatial","ADAS_VISUOSPATIAL","6.55216693418941","-0.000660035272876587","0.239729226805134","2.66e-01","2.38e-01","0.000290952933991598","0.732057509098342","5.69e-01","7.32e-01"
"239","model 17 vs 7","adni","_visuospatial","MOCA_VISUOSPATIAL","5.52276559865093","0.000238244444507872","0.885619529405551","1.29e-01","8.86e-01","-2.48900479113286e-05","0.991361481620479","6.69e-01","9.91e-01"
"240","model 17 vs 7","adni","_visuospatial","COMBINED PVALUES","0","3","0","0","0.362288239730464","3","0","0","0.970038132372275"
"241","model 17 vs 7","adni","_execfunc","EcogSPEF","5.31778929188256","-0.00162490456979348","0.0641395138648446","3.01e-03","6.29e-02","-0.00100493656931897","0.410533302791877","4.85e-01","4.1e-01"
"242","model 17 vs 7","adni","_execfunc","MMSE_ATTCALC","5.89580093312597","-0.000661476731879776","0.802501649623084","5.95e-01","8.02e-01","0.000560399054613764","0.882122883044866","2.22e-01","8.82e-01"
"243","model 17 vs 7","adni","_execfunc","MOCA_EF","5.50758853288364","0.01000282339581","0.446668205111965","2.86e-01","4.45e-01","0.00157750578005792","0.93357749163825","9.74e-01","9.33e-01"
"244","model 17 vs 7","adni","_execfunc","CDJUDGE","6.80715396578538","-0.000577376839902862","0.0890641361649163","5.83e-02","8.89e-02","-0.000665923575875611","0.150778451922387","3.24e-01","1.5e-01"
"245","model 17 vs 7","adni","_execfunc","COMBINED PVALUES","0","4","0","0","0.139187552199443","4","0","0","0.761082632930113"
"246","model 17 vs 8","adni","","MMSE","6.69206842923795","0.0278775567344289","0.170680336499184","4.35e-02","1.7e-01","0.0304430402224808","0.277349915276234","4.82e-01","2.77e-01"
"247","model 17 vs 8","adni","","CDRSB","6.73872472783826","-0.0210415985504886","0.0243777948233306","6.41e-02","2.44e-02","-0.0119221408040617","0.342445017407091","6.11e-01","3.42e-01"
"248","model 17 vs 8","adni","","EcogSPTotal","5.56093489148581","-0.000259599659020882","0.754064912219066","4.57e-02","7.54e-01","0.000601533452800861","0.598588660116699","3.14e-01","5.98e-01"
"249","model 17 vs 8","adni","","ADAS13","6.49438202247191","-0.239505815279204","0.0972756848253831","1.92e-01","9.7e-02","-0.255148823986131","0.216378946187065","4.61e-01","2.16e-01"
"250","model 17 vs 8","adni","","MOCA","5.46699669966997","0.0381878826248668","0.112761142672526","1.58e-01","1.12e-01","0.0383161976805807","0.234322377566826","3.52e-01","2.33e-01"
"251","model 17 vs 8","adni","","GDTOTAL","6.64074650077761","0.00167661718962508","0.713426115928488","6.81e-01","7.14e-01","0.00592716105432959","0.375311213188975","4.02e-01","3.75e-01"
"252","model 17 vs 8","adni","","PTAU","2.28630705394191","0.549472945318231","0.0643613840427769","8.47e-02","6.29e-02","0.798754477983872","0.0665578005497292","1.41e-01","6.58e-02"
"253","model 17 vs 8","adni","","TAU","2.28630705394191","33.502102238876","0.121336446869819","1.7e-01","1.19e-01","34.9832691942654","0.272010088290218","4.52e-01","2.7e-01"
"254","model 17 vs 8","adni","","ABETA","2.28630705394191","205.869688632045","0.545842007995769","3.57e-01","5.45e-01","80.6235423476304","0.86380102829194","9.7e-01","8.64e-01"
"255","model 17 vs 8","adni","","COMBINED PVALUES","0","8","0","0","0.0164916305858278","8","0","0","0.128540295816777"
"256","model 17 vs 8","adni","_memory","EcogSPMem","5.55241264559068","-0.000201728807639311","0.851086295899949","1.95e-01","8.51e-01","0.00113479663471687","0.456099511162625","5.8e-01","4.55e-01"
"257","model 17 vs 8","adni","_memory","MMSE_RECALL","5.89735614307932","-0.00132345026402552","0.595491136989947","1.11e-01","5.95e-01","-0.00192212295312033","0.594356050960396","7.94e-01","5.94e-01"
"258","model 17 vs 8","adni","_memory","ADAS_MEMORY","6.54414125200642","-0.059537836682436","0.197286429747422","2.4e-01","1.96e-01","-0.0547924474529279","0.4044640187478","6.15e-01","4.04e-01"
"259","model 17 vs 8","adni","_memory","MOCA_MEMORY","5.47723440134907","0.03037137954696","0.297231903635436","5.79e-01","2.96e-01","0.0174231426120562","0.669984038561467","8.93e-01","6.7e-01"
"260","model 17 vs 8","adni","_memory","CDMEMORY","6.80715396578538","-0.000609560444340345","0.117325061214598","2.29e-01","1.17e-01","-0.000321722789813796","0.541988931076362","8.19e-01","5.42e-01"
"261","model 17 vs 8","adni","_memory","COMBINED PVALUES","0","5","0","0","0.280357964569714","5","0","0","0.57575454535997"
"262","model 17 vs 8","adni","_language","EcogSPLang","5.54908485856905","-0.000916871835627988","0.23760883013443","6.85e-02","2.37e-01","-0.000960760221358065","0.379107249902745","2.17e-01","3.79e-01"
"263","model 17 vs 8","adni","_language","MMSE_LANGUAGE","6.68740279937792","-0.000976183825117311","0.510909543910453","5.67e-01","5.11e-01","-0.000701734613673555","0.745287721633842","9.27e-01","7.45e-01"
"264","model 17 vs 8","adni","_language","ADAS_LANGUAGE","6.5569823434992","-0.00421679122987141","0.180228256807363","3e-01","1.8e-01","-0.00584775132036688","0.211731431123868","3.61e-01","2.12e-01"
"265","model 17 vs 8","adni","_language","MOCA_LANGUAGE","5.52107925801012","0.0359160592604328","0.261881718653354","5.2e-01","2.62e-01","0.049296395872571","0.280105692899471","4.59e-01","2.8e-01"
"266","model 17 vs 8","adni","_language","COMBINED PVALUES","0","4","0","0","0.131253959615322","4","0","0","0.302994788115393"
"267","model 17 vs 8","adni","_orientation","MMSE_ORIENTATION","6.69206842923795","-0.00989051303508127","0.0354481440373982","5.05e-02","3.5e-02","-0.00535895437159079","0.397026073280813","6.41e-01","3.97e-01"
"268","model 17 vs 8","adni","_orientation","ADAS_ORIENTATION","6.55056179775281","-0.0052396177936341","0.0552386205511543","5.46e-02","5.48e-02","-0.00572078305944927","0.116467230705138","2.03e-01","1.16e-01"
"269","model 17 vs 8","adni","_orientation","MOCA_ORIENTATION","5.52107925801012","0.00348387816085116","0.0589919782270777","1.08e-01","5.82e-02","0.00127096473116568","0.585766570502704","8.03e-01","5.85e-01"
"270","model 17 vs 8","adni","_orientation","CDORIENT","6.80715396578538","-0.000742803315336603","0.0373874659216856","5.34e-02","3.72e-02","-0.000478059186994222","0.312155933307171","5.9e-01","3.12e-01"
"271","model 17 vs 8","adni","_orientation","COMBINED PVALUES","0","4","0","0","0.00035841817521663","4","0","0","0.193268332821344"
"272","model 17 vs 8","adni","_visuospatial","EcogSPVisspat","5.49166666666667","-0.000489323411910101","0.529977597391995","1.47e-02","5.29e-01","0.000276053601737227","0.79537418950813","3.94e-01","7.95e-01"
"273","model 17 vs 8","adni","_visuospatial","ADAS_VISUOSPATIAL","6.55216693418941","-0.000939091443202867","0.106630047434245","1.04e-01","1.05e-01","-0.00031820258193849","0.70208190115221","1.17e-01","7.02e-01"
"274","model 17 vs 8","adni","_visuospatial","MOCA_VISUOSPATIAL","5.52276559865093","-2.15566216712139e-05","0.98972150764618","4.35e-02","9.9e-01","-0.00125808963958825","0.588469194567383","1.28e-01","5.91e-01"
"275","model 17 vs 8","adni","_visuospatial","COMBINED PVALUES","0","3","0","0","0.745814755910637","3","0","0","0.819805160018434"
"276","model 17 vs 8","adni","_execfunc","EcogSPEF","5.31778929188256","-0.000426190584914189","0.637185839910248","2.25e-02","6.37e-01","0.000983184717053986","0.436856265268332","2.47e-01","4.36e-01"
"277","model 17 vs 8","adni","_execfunc","MMSE_ATTCALC","5.89580093312597","2.18482594869833e-05","0.993589883335382","3.75e-01","9.94e-01","0.00137448702956165","0.717579521181973","4.24e-01","7.17e-01"
"278","model 17 vs 8","adni","_execfunc","MOCA_EF","5.50758853288364","0.0160150129250027","0.230249730986015","1.05e-01","2.28e-01","0.0194575328286936","0.312043317117421","5.03e-01","3.11e-01"
"279","model 17 vs 8","adni","_execfunc","CDJUDGE","6.80715396578538","-0.000767991747580252","0.0266235399620224","8.31e-02","2.65e-02","-0.000666390069144975","0.156459256550566","3.67e-01","1.57e-01"
"280","model 17 vs 8","adni","_execfunc","COMBINED PVALUES","0","4","0","0","0.536298439161925","4","0","0","0.293384490241329"
"281","model 17 vs 9","adni","","MMSE","6.69206842923795","0.0427142474514463","0.0245953494313976","6.78e-02","2.44e-02","0.0293576807230439","0.316335473789144","5.98e-01","3.16e-01"
"282","model 17 vs 9","adni","","CDRSB","6.73872472783826","-0.02490139277603","0.0045331024945499","1.41e-02","4.46e-03","-0.0163166951888","0.211724686031487","2.88e-01","2.11e-01"
"283","model 17 vs 9","adni","","EcogSPTotal","5.56093489148581","-0.00108420663252342","0.155464182710172","1.63e-01","1.55e-01","-0.000992103895123827","0.396473831211536","6.9e-01","3.96e-01"
"284","model 17 vs 9","adni","","ADAS13","6.49438202247191","-0.356712912078462","0.00938102101236665","2.84e-02","9.2e-03","-0.307916162304528","0.146116218931571","3.39e-01","1.45e-01"
"285","model 17 vs 9","adni","","MOCA","5.46699669966997","0.0208794868287901","0.344709016858592","5.39e-01","3.44e-01","0.013768903057169","0.683624744765009","8.3e-01","6.83e-01"
"286","model 17 vs 9","adni","","GDTOTAL","6.64074650077761","-0.00364832647093324","0.381956574142207","2.45e-01","3.82e-01","0.00932070307475344","0.15845955729893","1.77e-01","1.58e-01"
"287","model 17 vs 9","adni","","PTAU","2.28630705394191","-0.15781507617145","0.576621741965103","1.71e-01","5.76e-01","-0.00501312863154891","0.991359172980353","6.23e-01","9.91e-01"
"288","model 17 vs 9","adni","","TAU","2.28630705394191","-21.4866127441574","0.297047942349121","1.83e-01","2.96e-01","-23.7492299027914","0.480500988479749","5.28e-01","4.79e-01"
"289","model 17 vs 9","adni","","ABETA","2.28630705394191","271.387777266404","0.396178934208226","7.67e-02","3.95e-01","-115.461821693454","0.79848839775994","6.66e-01","7.98e-01"
"290","model 17 vs 9","adni","","COMBINED PVALUES","0","8","0","0","0.00178734495291698","8","0","0","0.502148929423466"
"291","model 17 vs 9","adni","_memory","EcogSPMem","5.55241264559068","-0.00129977635498905","0.187719684536981","2.44e-01","1.86e-01","-0.000973294157263406","0.521513301001583","7.97e-01","5.21e-01"
"292","model 17 vs 9","adni","_memory","MMSE_RECALL","5.89735614307932","-0.00256002001024523","0.271573352166901","3.83e-01","2.71e-01","-0.00179880253580719","0.628791939031358","8.89e-01","6.29e-01"
"293","model 17 vs 9","adni","_memory","ADAS_MEMORY","6.54414125200642","-0.0987416261798528","0.0230999223983905","4.93e-02","2.29e-02","-0.0961140412679579","0.15400013263958","3.57e-01","1.54e-01"
"294","model 17 vs 9","adni","_memory","MOCA_MEMORY","5.47723440134907","0.0311331497597591","0.240652242886592","4.99e-01","2.39e-01","0.00604825996432769","0.881720379557099","9.84e-01","8.82e-01"
"295","model 17 vs 9","adni","_memory","CDMEMORY","6.80715396578538","-0.000367344623303329","0.309609868673412","5.12e-01","3.09e-01","5.45210030549201e-05","0.920715594414561","9.39e-01","9.21e-01"
"296","model 17 vs 9","adni","_memory","COMBINED PVALUES","0","5","0","0","0.0176253559974318","5","0","0","0.809548254842028"
"297","model 17 vs 9","adni","_language","EcogSPLang","5.54908485856905","-0.00113975616490221","0.109456541897149","1.71e-01","1.09e-01","-0.00104132300435893","0.350248919243694","6.43e-01","3.49e-01"
"298","model 17 vs 9","adni","_language","MMSE_LANGUAGE","6.68740279937792","-0.00166899126461096","0.224866229206397","3.76e-01","2.25e-01","-0.0028079935785788","0.20362497135504","4.37e-01","2.04e-01"
"299","model 17 vs 9","adni","_language","ADAS_LANGUAGE","6.5569823434992","-0.00472281615153689","0.114733679449985","2.07e-01","1.15e-01","-0.00435713142416556","0.363372035359101","6.03e-01","3.63e-01"
"300","model 17 vs 9","adni","_language","MOCA_LANGUAGE","5.52107925801012","0.020477040719561","0.481552073714658","7.35e-01","4.84e-01","0.019760135954459","0.670443738214487","8.97e-01","6.71e-01"
"301","model 17 vs 9","adni","_language","COMBINED PVALUES","0","4","0","0","0.0532770323367112","4","0","0","0.287191702977233"
"302","model 17 vs 9","adni","_orientation","MMSE_ORIENTATION","6.69206842923795","-0.0101694202582353","0.0197955070782909","6.37e-02","1.94e-02","-0.0100341614585055","0.13246152143808","3.18e-01","1.32e-01"
"303","model 17 vs 9","adni","_orientation","ADAS_ORIENTATION","6.55056179775281","-0.00782991754399359","0.00252007794436437","9.89e-03","2.38e-03","-0.00602915420028481","0.0967167225357063","2.1e-01","9.6e-02"
"304","model 17 vs 9","adni","_orientation","MOCA_ORIENTATION","5.52107925801012","0.00266261901523728","0.119447679335727","2.72e-01","1.19e-01","-0.000440097291122043","0.86212417985071","9.12e-01","8.62e-01"
"305","model 17 vs 9","adni","_orientation","CDORIENT","6.80715396578538","-0.000502631847860463","0.129493595192659","2.53e-01","1.29e-01","-0.000315923193372962","0.527670111806581","5.24e-01","5.27e-01"
"306","model 17 vs 9","adni","_orientation","COMBINED PVALUES","0","4","0","0","0.000159024379795334","4","0","0","0.263596677633937"
"307","model 17 vs 9","adni","_visuospatial","EcogSPVisspat","5.49166666666667","-0.00130369356455811","0.0680850690212788","9.67e-02","6.7e-02","-0.000741441010953826","0.508930923024712","7.97e-01","5.08e-01"
"308","model 17 vs 9","adni","_visuospatial","ADAS_VISUOSPATIAL","6.55216693418941","-0.0011500817158492","0.0355620710584824","7.68e-02","3.42e-02","-0.000533958097567892","0.53948059061796","7.23e-01","5.41e-01"
"309","model 17 vs 9","adni","_visuospatial","MOCA_VISUOSPATIAL","5.52276559865093","2.1476785075108e-05","0.988763380079302","4.56e-01","9.89e-01","-0.00035597357808189","0.885198957110675","8.52e-01","8.85e-01"
"310","model 17 vs 9","adni","_visuospatial","COMBINED PVALUES","0","3","0","0","0.275933802820297","3","0","0","0.777580098738594"
"311","model 17 vs 9","adni","_execfunc","EcogSPEF","5.31778929188256","-0.00139079227976843","0.0934002870443941","4.88e-02","9.21e-02","-0.00125254702855298","0.341891398220829","5.32e-01","3.41e-01"
"312","model 17 vs 9","adni","_execfunc","MMSE_ATTCALC","5.89580093312597","-0.000245658568825539","0.923149980643418","4.56e-01","9.23e-01","-0.00143471390129003","0.719341232450609","3.83e-01","7.19e-01"
"313","model 17 vs 9","adni","_execfunc","MOCA_EF","5.50758853288364","0.0109792504842329","0.368919828647499","6.62e-01","3.68e-01","0.00621561886800332","0.750883861159812","9.15e-01","7.51e-01"
"314","model 17 vs 9","adni","_execfunc","CDJUDGE","6.80715396578538","-0.000384117729012112","0.23313860185576","2.02e-01","2.33e-01","-0.000255445920629872","0.602598122287944","6.12e-01","6.02e-01"
"315","model 17 vs 9","adni","_execfunc","COMBINED PVALUES","0","4","0","0","0.314095803292644","4","0","0","0.709920531607344"
"316","model 17 vs 10","adni","","MMSE","6.69206842923795","0.0403114816185378","0.0383978991838052","9.5e-02","3.81e-02","0.0551559288749822","0.0490212667720757","7.19e-02","4.85e-02"
"317","model 17 vs 10","adni","","CDRSB","6.73872472783826","-0.0198374727868912","0.0274121184836775","8.73e-02","2.73e-02","-0.025212004171046","0.0455796737306132","1.13e-01","4.53e-02"
"318","model 17 vs 10","adni","","EcogSPTotal","5.56093489148581","-0.000781529797647963","0.320202567884942","2.89e-01","3.2e-01","-0.000932843724134515","0.405306067263871","3.52e-01","4.05e-01"
"319","model 17 vs 10","adni","","ADAS13","6.49438202247191","-0.252797533702351","0.0710782374343743","1.22e-01","7.09e-02","-0.344635692768963","0.0862773464703615","1.51e-01","8.6e-02"
"320","model 17 vs 10","adni","","MOCA","5.46699669966997","0.00821206809565328","0.717932271488602","9.33e-01","7.18e-01","-0.00416226571772675","0.899890573396801","6.42e-01","9e-01"
"321","model 17 vs 10","adni","","GDTOTAL","6.64074650077761","-0.00423867488411405","0.327673287702602","3.37e-01","3.28e-01","-0.00770678208131263","0.239027875917468","4.66e-01","2.39e-01"
"322","model 17 vs 10","adni","","PTAU","2.28630705394191","-0.120225589800549","0.673578759624195","6.21e-01","6.74e-01","-0.0781319488156175","0.860181774149899","5.88e-01","8.6e-01"
"323","model 17 vs 10","adni","","TAU","2.28630705394191","-9.62903223928939","0.644161659792824","6.42e-01","6.44e-01","-17.9217155795388","0.573268290784939","5.55e-01","5.73e-01"
"324","model 17 vs 10","adni","","ABETA","2.28630705394191","-466.964872636476","0.146666392270858","3.38e-02","1.48e-01","-977.079059901034","0.0260809693210443","2.21e-03","2.75e-02"
"325","model 17 vs 10","adni","","COMBINED PVALUES","0","8","0","0","0.0359824851312633","8","0","0","0.0565860729649333"
"326","model 17 vs 10","adni","_memory","EcogSPMem","5.55241264559068","-0.00124549143431153","0.223363804027658","2.58e-01","2.22e-01","-0.00135934702681339","0.35453904196256","2e-01","3.55e-01"
"327","model 17 vs 10","adni","_memory","MMSE_RECALL","5.89735614307932","-0.00386727800635239","0.106025927718871","1.93e-01","1.06e-01","-0.00693946723563952","0.0433879550535893","2.95e-02","4.32e-02"
"328","model 17 vs 10","adni","_memory","ADAS_MEMORY","6.54414125200642","-0.0824131096513179","0.0669446355769872","8.63e-02","6.67e-02","-0.134526238673741","0.0390459819760435","4.45e-02","3.9e-02"
"329","model 17 vs 10","adni","_memory","MOCA_MEMORY","5.47723440134907","0.0321719353786088","0.246795140666416","5.07e-01","2.46e-01","0.0359031053100028","0.374892304501576","4.03e-01","3.75e-01"
"330","model 17 vs 10","adni","_memory","CDMEMORY","6.80715396578538","-0.000632542320818959","0.0884539244931697","2.33e-01","8.82e-02","-0.000935670381860532","0.0750310628460083","8.6e-02","7.45e-02"
"331","model 17 vs 10","adni","_memory","COMBINED PVALUES","0","5","0","0","0.00650370451036469","5","0","0","0.00605072263231898"
"332","model 17 vs 10","adni","_language","EcogSPLang","5.54908485856905","-0.000689330451562268","0.350987971723522","3.39e-01","3.51e-01","-0.000653574831407766","0.547151980544594","4.9e-01","5.47e-01"
"333","model 17 vs 10","adni","_language","MMSE_LANGUAGE","6.68740279937792","-0.00138304430408368","0.331176516186706","5.8e-01","3.31e-01","-0.00290913132179313","0.174069978337229","3.58e-01","1.74e-01"
"334","model 17 vs 10","adni","_language","ADAS_LANGUAGE","6.5569823434992","-0.00369265779052747","0.227960028697961","4.81e-01","2.28e-01","-0.00451754901497634","0.316286143148365","5.25e-01","3.16e-01"
"335","model 17 vs 10","adni","_language","MOCA_LANGUAGE","5.52107925801012","-0.00325798908476617","0.915380658175559","8.15e-01","9.16e-01","-0.0228299024813556","0.624439643128397","7.36e-01","6.26e-01"
"336","model 17 vs 10","adni","_language","COMBINED PVALUES","0","4","0","0","0.462839281997959","4","0","0","0.312416175203473"
"337","model 17 vs 10","adni","_orientation","MMSE_ORIENTATION","6.69206842923795","-0.00880157991917068","0.0502815141817936","9.66e-02","4.97e-02","-0.0107419946970598","0.0937197541471381","9.04e-02","9.3e-02"
"338","model 17 vs 10","adni","_orientation","ADAS_ORIENTATION","6.55056179775281","-0.0070820957975816","0.00765048537688206","9.04e-03","7.41e-03","-0.0095237555259253","0.0078775475095143","2.43e-02","7.57e-03"
"339","model 17 vs 10","adni","_orientation","MOCA_ORIENTATION","5.52107925801012","0.00351722814685904","0.0465666111506033","1.33e-01","4.6e-02","0.00489835599340492","0.0463427894295255","1.35e-01","4.57e-02"
"340","model 17 vs 10","adni","_orientation","CDORIENT","6.80715396578538","-0.00053376836322448","0.117314670900235","2.49e-01","1.17e-01","-0.000734838089333046","0.126136490032343","2.13e-01","1.25e-01"
"341","model 17 vs 10","adni","_orientation","COMBINED PVALUES","0","4","0","0","0.000250905211535098","4","0","0","0.000492173404678597"
"342","model 17 vs 10","adni","_visuospatial","EcogSPVisspat","5.49166666666667","-0.00105455387204124","0.154246420048356","8.24e-02","1.53e-01","-0.00122501430609238","0.257253733988942","2.15e-01","2.57e-01"
"343","model 17 vs 10","adni","_visuospatial","ADAS_VISUOSPATIAL","6.55216693418941","-0.00117191201421596","0.0405381609492995","6.79e-02","3.92e-02","-0.0012419766749001","0.140106718385954","2.41e-01","1.39e-01"
"344","model 17 vs 10","adni","_visuospatial","MOCA_VISUOSPATIAL","5.52276559865093","-0.00157692108393908","0.326335444196352","2.24e-01","3.25e-01","-0.00224159721413536","0.357791715768219","3.95e-01","3.57e-01"
