"","models compared","table","eval_col","test_category","num_visits","Effect Size","LMM P-value","no-shift vs shift","shift-time vs no-shift-time","Effect Size No-Extreme","LMM P-value No-Extreme","no-shift vs shift No-Extreme","shift-time vs no-shift-time No-Extreme"
"750","model 17 vs 11","epad","","fms_med_total","3.06040709126724","-0.13066250794298","0.256594145771875","1.49e-01","2.57e-01","-0.187025948649541","0.224093813807349","1.53e-01","2.25e-01"
"751","model 17 vs 11","epad","","COMBINED PVALUES","0","13","0","0","0.220038632751895","13","0","0","0.470443127297113"
"752","model 17 vs 11","epad","_memory","rbans_delayed_memory_index","3.05595786701777","0.478267288122982","0.459797910684223","7.55e-01","4.6e-01","0.609898979147213","0.483602060342615","2.12e-01","4.84e-01"
"753","model 17 vs 11","epad","_memory","rbans_immediate_memory_index","3.05797101449275","-0.464075892084882","0.472975152199021","5.06e-01","4.73e-01","-0.379584678685285","0.668072132350567","1.02e-01","6.68e-01"
"754","model 17 vs 11","epad","_memory","mmse_recall_total","2.40731070496084","0.000352002300621391","0.851119780052488","8.83e-01","8.51e-01","0.00375169560270234","0.151742858354956","2.97e-01","1.52e-01"
"755","model 17 vs 11","epad","_memory","cdr_memory","3.05398288347597","-0.000132651313509758","0.338838456291329","2.05e-01","3.38e-01","-0.000102117457517812","0.584964765977039","3.25e-02","5.85e-01"
"756","model 17 vs 11","epad","_memory","COMBINED PVALUES","0","4","0","0","0.589912496284075","4","0","0","0.41704626789225"
"757","model 17 vs 11","epad","_language","rbans_language_index","3.05793285055958","0.504630867252012","0.34207613167982","5.41e-01","3.42e-01","0.0741763868852924","0.918072458368251","9.7e-01","9.18e-01"
"758","model 17 vs 11","epad","_language","mmse_naming_total","2.40731070496084","2.64964872311284e-05","0.0373092375824346","1.12e-01","3.66e-02","2.74903264842937e-06","0.66265241585638","4.9e-01","6.63e-01"
"759","model 17 vs 11","epad","_language","COMBINED PVALUES","0","2","0","0","0.0600159509725286","2","0","0","0.900002580449063"
"760","model 17 vs 11","epad","_orientation","mmse_orientation_total","2.40731070496084","0.00165228572729073","0.099539298391522","2.2e-01","9.96e-02","0.000363704359723957","0.741385913435703","9.36e-01","7.41e-01"
"761","model 17 vs 11","epad","_orientation","cdr_orientation","3.05464121132324","-4.26483595848446e-05","0.550873539618622","6.01e-01","5.51e-01","-6.55883821290532e-05","0.509867945731977","5.47e-01","5.1e-01"
"762","model 17 vs 11","epad","_orientation","COMBINED PVALUES","0","2","0","0","0.20691705988608","2","0","0","0.682543228969934"
"763","model 17 vs 11","epad","_visuospatial","flanker_score","2.55206847360913","-0.0017681478970043","0.228426612805178","4.52e-01","2.27e-01","-0.00216521582663141","0.301737402918817","5.86e-01","3.02e-01"
"764","model 17 vs 11","epad","_visuospatial","fms_med_total","3.06040709126724","-0.13066250794298","0.256594145771875","1.49e-01","2.57e-01","-0.187025948649541","0.224093813807349","1.53e-01","2.25e-01"
"765","model 17 vs 11","epad","_visuospatial","st_trial_total","3.06040709126724","-0.180171861401089","0.178251153593894","9.76e-02","1.77e-01","-0.361466145755795","0.0447693078812291","2.76e-02","4.46e-02"
"766","model 17 vs 11","epad","_visuospatial","rbans_visuo_constructional_index","3.05727452271231","-0.0962645571272497","0.917637923821528","7.54e-01","9.18e-01","0.0834063610625871","0.94702215481248","9.3e-01","9.47e-01"
"767","model 17 vs 11","epad","_visuospatial","COMBINED PVALUES","0","4","0","0","0.319802938834176","4","0","0","0.248684821702768"
"768","model 17 vs 11","epad","_execfunc","mmse_calc_total","2.40766550522648","0.000532040248555066","0.848543283502864","8.03e-02","8.49e-01","0.000851956511620706","0.818225951529071","2.09e-01","8.19e-01"
"769","model 17 vs 11","epad","_execfunc","cdr_judgement","3.05464121132324","0.000119582131518806","0.252912299480226","2.54e-01","2.53e-01","0.00015572006624612","0.28538644456869","4.87e-01","2.85e-01"
"770","model 17 vs 11","epad","_execfunc","COMBINED PVALUES","0","2","0","0","0.602398877276187","2","0","0","0.595957680461602"
"771","model 17 vs 12","adni","","MMSE","6.28609625668449","0.0445705512055292","0.127083856393809","1.31e-01","1.26e-01","0.0246868456175093","0.551137756689296","6.5e-01","5.51e-01"
"772","model 17 vs 12","adni","","CDRSB","6.33689839572193","-0.0371843588681765","0.0093192730112036","3.31e-02","9.07e-03","-0.0292539118691755","0.155809318551974","3.64e-01","1.55e-01"
"773","model 17 vs 12","adni","","EcogSPTotal","5.26884779516358","-0.00154640001006793","0.0994277608706251","1.13e-01","9.85e-02","-0.00170385584459999","0.187907259874385","3.85e-01","1.87e-01"
"774","model 17 vs 12","adni","","ADAS13","6.03059805285118","-0.300047977720528","0.0968808294743592","1.22e-01","9.61e-02","-0.403168687048114","0.13458501472305","3.15e-01","1.34e-01"
"775","model 17 vs 12","adni","","MOCA","5.16901408450704","0.0324583347918967","0.304543119551956","1.36e-01","3.04e-01","0.0142015938200788","0.751511348879313","5.2e-01","7.51e-01"
"776","model 17 vs 12","adni","","GDTOTAL","6.2379679144385","-0.00512383346285224","0.239729089680358","3.28e-01","2.42e-01","-0.0114074593577249","0.0673680917491559","1.67e-01","6.77e-02"
"777","model 17 vs 12","adni","","PTAU","2.27710843373494","-0.0130696927854242","0.963619265257848","9.41e-01","9.64e-01","0.239549196965287","0.615989904934571","8.78e-01","6.16e-01"
"778","model 17 vs 12","adni","","TAU","2.27710843373494","2.95451259454207","0.887417980139784","8.89e-01","8.88e-01","24.109504931242","0.489068372158347","7.83e-01","4.9e-01"
"779","model 17 vs 12","adni","","ABETA","2.27710843373494","-422.300369623051","0.187088701965809","3.59e-01","1.86e-01","-591.643216409903","0.213449620957844","3.05e-01","2.18e-01"
"780","model 17 vs 12","adni","","COMBINED PVALUES","0","8","0","0","0.0513406010417749","8","0","0","0.0929958885571075"
"781","model 17 vs 12","adni","_memory","EcogSPMem","5.26241134751773","-0.00187584766386912","0.101364668854248","1.07e-01","1e-01","-0.0014730893079111","0.354387519320976","4.58e-01","3.54e-01"
"782","model 17 vs 12","adni","_memory","MMSE_RECALL","5.60026737967914","-0.000746264083250623","0.772469849328756","2.95e-01","7.72e-01","-0.00189671736286601","0.614182210104248","7.7e-01","6.14e-01"
"783","model 17 vs 12","adni","_memory","ADAS_MEMORY","6.06805555555556","-0.0573145999011034","0.234980765042099","2.03e-01","2.35e-01","-0.144590753732259","0.040799257894853","1.24e-01","4.11e-02"
"784","model 17 vs 12","adni","_memory","MOCA_MEMORY","5.13411078717201","0.0412614097523906","0.159345070841853","2.22e-01","1.59e-01","0.0406842396371799","0.316519584982995","4.37e-01","3.15e-01"
"785","model 17 vs 12","adni","_memory","CDMEMORY","6.39839572192513","-0.000860064072431545","0.055171371896869","7.75e-02","5.48e-02","-0.00051638989444219","0.413676453039063","4.08e-01","4.13e-01"
"786","model 17 vs 12","adni","_memory","COMBINED PVALUES","0","5","0","0","0.042266408316973","5","0","0","0.129459695545522"
"787","model 17 vs 12","adni","_language","EcogSPLang","5.25957446808511","-0.00123389056176838","0.152125777464902","1.85e-01","1.51e-01","-0.00200147225826614","0.102218371951299","2.53e-01","1.01e-01"
"788","model 17 vs 12","adni","_language","MMSE_LANGUAGE","6.28208556149733","-0.00214016910173949","0.207227217841785","2.97e-01","2.09e-01","0.000244393732674532","0.92219832491122","9.6e-01","9.23e-01"
"789","model 17 vs 12","adni","_language","ADAS_LANGUAGE","6.08472222222222","-0.00427687812849392","0.379774581663891","1.95e-01","3.79e-01","-0.00195539487290691","0.799433059071939","7.77e-01","7.99e-01"
"790","model 17 vs 12","adni","_language","MOCA_LANGUAGE","5.1688500727802","-0.00233160956760271","0.941244942422025","2.81e-01","9.42e-01","0.0367937831367858","0.40951717673991","4.85e-01","4.11e-01"
"791","model 17 vs 12","adni","_language","COMBINED PVALUES","0","4","0","0","0.386219664206107","4","0","0","0.64853771246301"
"792","model 17 vs 12","adni","_orientation","MMSE_ORIENTATION","6.28609625668449","-0.0118463346195486","0.0553069383169866","1.04e-01","5.45e-02","-0.0109270711155683","0.219094793519376","4.48e-01","2.18e-01"
"793","model 17 vs 12","adni","_orientation","ADAS_ORIENTATION","6.07361111111111","-0.00881483342827786","0.0062493967141335","2.21e-02","5.88e-03","-0.0138377734283753","0.00279539307734894","5.18e-03","2.6e-03"
